Entity Name,Entity ID,Fiscal Year,Annual Required Contributions (ARC),Contributions Made,Percentage of ARC Recognized (%)
Antelope Valley Hospital Medical Center Retirement Plan,7148,20152016,13400105,18711728,140%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20142015,13497568,13888450,103%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20132014,17804538,7226851,41%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20122013,16717000,7583955,45%
City of Emeryville Pension Plan,7221,20152016,35300,0,0%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20112012,15110012,7373956,49%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20092010,11053926,5830054,53%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20082009,10163395,5660550,56%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20072008,10159993,2997248,30%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20062007,10911300,2546342,23%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20052006,9407187,1200000,13%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20042005,7664313,0,0%
Antelope Valley Hospital Medical Center Retirement Plan,7148,20032004,4967444,0,0%
Arcade Water District Money Purchase Pension Plan and Trust,7176,20042005,0,0,NULL
Arcade Water District Money Purchase Pension Plan and Trust,7176,20032004,0,0,NULL
Arcade Water District Money Purchase Pension Plan and Trust,7176,20022003,,267464,NULL
Arvin Edison Water Storage District Employees' Pension Plan,7180,20152016,,399990,NULL
Arvin Edison Water Storage District Employees' Pension Plan,7180,20142015,0,378441,NULL
Arvin Edison Water Storage District Employees' Pension Plan,7180,20132014,374488,374488,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20122013,337682,337682,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20112012,352657,352657,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20102011,340743,340743,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20092010,338012,338012,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20082009,324899,324899,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20072008,314139,314139,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20062007,258103,258103,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20052006,227403,227403,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20042005,204218,204218,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20032004,0,190380,100%
Arvin Edison Water Storage District Employees' Pension Plan,7180,20022003,0,186472,100%
California Public Employees' Retirement System,7208,20152016,10892489000,10892489000,100%
California Public Employees' Retirement System,7208,20142015,10079467000,10079467000,100%
California Public Employees' Retirement System,7208,20132014,8777602000,8777602000,100%
California Public Employees' Retirement System,7208,20122013,7988036866,8123833000,102%
California Public Employees' Retirement System,7208,20112012,7772913000,7772913000,100%
California Public Employees' Retirement System,7208,20102011,7465397000,7465397000,100%
California Public Employees' Retirement System,7208,20092010,6955049000,6955049000,100%
California Public Employees' Retirement System,7208,20082009,6912377000,6912376000,100%
California Public Employees' Retirement System,7208,20072008,7242802000,7242802000,100%
California Public Employees' Retirement System,7208,20062007,6442384000,6442384000,100%
California Public Employees' Retirement System,7208,20052006,6095029000,6095029000,100%
California Public Employees' Retirement System,7208,20042005,5774120000,5774120000,100%
California Public Employees' Retirement System,7208,20032004,4261347000,4261347000,100%
California Public Employees' Retirement System,7208,20022003,1925043858,1925044000,100%
California State Teachers' Retirement System,7209,20152016,7748000000,5331045996,69%
California State Teachers' Retirement System,7209,20142015,7707000000,4103610992,53%
California State Teachers' Retirement System,7209,20132014,7158000000,3655634686,51%
California State Teachers' Retirement System,7209,20122013,6629000000,3611560571,54%
California State Teachers' Retirement System,7209,20112012,6278000000,3540563819,56%
California State Teachers' Retirement System,7209,20102011,6114000000,3503614708,57%
California State Teachers' Retirement System,7209,20092010,5153910000,3507894069,68%
California State Teachers' Retirement System,7209,20082009,4737440000,3712112605,78%
California State Teachers' Retirement System,7209,20072008,4446800000,4082903344,92%
California State Teachers' Retirement System,7209,20062007,4682610000,3370115089,72%
California State Teachers' Retirement System,7209,20052006,4588990000,3222267613,70%
California State Teachers' Retirement System,7209,20042005,4425480000,3323325460,75%
California State Teachers' Retirement System,7209,20032004,4266000000,2596134444,61%
California State Teachers' Retirement System,7209,20022003,2621000000,2398511103,92%
CalPERS Replacement Benefit Fund (RBF),8535,20082009,0,0,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20072008,0,2483000,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20062007,0,2209000,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20052006,0,1536000,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20042005,0,1134000,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20032004,0,652000,NULL
CalPERS Replacement Benefit Fund (RBF),8535,20022003,,120000,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20092010,,0,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20082009,,3744519,100%
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20072008,,1705903,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20062007,,513889,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20052006,,329503,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20042005,0,203169,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20032004,0,126184,NULL
CalSTRS - Teachers' Replacement Benefits Program Fund,8555,20022003,0,68061,NULL
City of Adelanto Employee Retirement Plan,7253,20032004,,0,NULL
City of Adelanto Employee Retirement Plan,7253,20022003,0,156871,NULL
City of Alameda Police and Fire Pension 1079 and 1082,7218,20152016,1893996,1893996,100%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20142015,1908050,1908050,100%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20132014,1924447,1924447,100%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20122013,1867624,1918876,103%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20112012,1906200,1958576,103%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20102011,2070000,2076650,100%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20092010,2248000,2120764,94%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20082009,2534000,2506398,99%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20072008,2758000,2780297,101%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20062007,2794000,3062594,110%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20052006,2794000,3139004,112%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20042005,2794000,4420939,158%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20032004,3381000,4555095,135%
City of Alameda Police and Fire Pension 1079 and 1082,7218,20022003,3440000,4251978,124%
City of Albany Police and Fire Relief Pension Fund,7219,20152016,218723,0,0%
City of Albany Police and Fire Relief Pension Fund,7219,20142015,,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20132014,82401,82401,100%
City of Albany Police and Fire Relief Pension Fund,7219,20122013,82401,82401,100%
City of Albany Police and Fire Relief Pension Fund,7219,20112012,,300000,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20102011,0,300000,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20092010,0,300000,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20082009,,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20072008,0,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20062007,0,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20052006,0,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20042005,0,0,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20032004,0,534513,NULL
City of Albany Police and Fire Relief Pension Fund,7219,20022003,1256946,1256946,100%
City of Bakersfield Firemen's Disability and Retirement System,7234,20152016,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20142015,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20132014,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20122013,,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20112012,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20102011,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20092010,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20082009,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20072008,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20062007,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20052006,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20042005,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20032004,0,0,NULL
City of Bakersfield Firemen's Disability and Retirement System,7234,20022003,0,0,0%
City of Berkeley Safety Members' Pension Fund,7220,20152016,859645,499554,58%
City of Berkeley Safety Members' Pension Fund,7220,20142015,1001955,604755,60%
City of Berkeley Safety Members' Pension Fund,7220,20132014,929434,568620,61%
City of Berkeley Safety Members' Pension Fund,7220,20122013,1176236,683401,58%
City of Berkeley Safety Members' Pension Fund,7220,20112012,1554836,799800,51%
City of Berkeley Safety Members' Pension Fund,7220,20102011,1554836,958837,62%
City of Berkeley Safety Members' Pension Fund,7220,20092010,1665559,1001391,60%
City of Berkeley Safety Members' Pension Fund,7220,20082009,1736185,990809,57%
City of Berkeley Safety Members' Pension Fund,7220,20072008,1783940,951940,53%
City of Berkeley Safety Members' Pension Fund,7220,20062007,1816236,889236,49%
City of Berkeley Safety Members' Pension Fund,7220,20052006,1985001,1985001,100%
City of Berkeley Safety Members' Pension Fund,7220,20042005,2101582,2101582,100%
City of Berkeley Safety Members' Pension Fund,7220,20032004,2264400,2264400,100%
City of Berkeley Safety Members' Pension Fund,7220,20022003,2453898,2453898,100%
City of Concord Retirement System,7230,20152016,2478000,2041610,82%
City of Concord Retirement System,7230,20142015,2478000,2035017,82%
City of Concord Retirement System,7230,20132014,2045000,1971829,96%
City of Concord Retirement System,7230,20122013,2045000,1045961,51%
City of Concord Retirement System,7230,20112012,1810295,863610,48%
City of Concord Retirement System,7230,20102011,1810295,287624,16%
City of Concord Retirement System,7230,20092010,2416000,1312385,54%
City of Concord Retirement System,7230,20082009,1397072,539895,39%
City of Concord Retirement System,7230,20072008,1345407,1345407,100%
City of Concord Retirement System,7230,20062007,1329458,1329458,100%
City of Concord Retirement System,7230,20052006,1324325,1324325,100%
City of Concord Retirement System,7230,20042005,332551,332551,100%
City of Concord Retirement System,7230,20032004,331229,331229,100%
City of Concord Retirement System,7230,20022003,477245,477245,100%
City of Delano Employee Pension Plan,7235,20152016,1854831,1854874,100%
City of Delano Employee Pension Plan,7235,20142015,1847502,2131025,115%
City of Delano Employee Pension Plan,7235,20132014,2092933,2039080,97%
City of Delano Employee Pension Plan,7235,20122013,1478112,1310718,89%
City of Delano Employee Pension Plan,7235,20112012,1626231,1482654,91%
City of Delano Employee Pension Plan,7235,20102011,1898291,1806341,95%
City of Delano Employee Pension Plan,7235,20092010,1861238,1823123,98%
City of Delano Employee Pension Plan,7235,20082009,1608253,1662165,103%
City of Delano Employee Pension Plan,7235,20072008,1363373,1273624,93%
City of Delano Employee Pension Plan,7235,20062007,1132465,1139803,101%
City of Delano Employee Pension Plan,7235,20052006,1067027,1093090,102%
City of Delano Employee Pension Plan,7235,20042005,1496202,1564489,105%
City of Delano Employee Pension Plan,7235,20032004,1483964,1320632,89%
City of Delano Employee Pension Plan,7235,20022003,1320750,1184046,90%
City of East Palo Alto Retirement Plan,7256,20102011,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20092010,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20082009,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20072008,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20062007,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20052006,0,0,NULL
City of East Palo Alto Retirement Plan,7256,20042005,,0,NULL
City of East Palo Alto Retirement Plan,7256,20032004,,0,NULL
City of East Palo Alto Retirement Plan,7256,20022003,,0,NULL
City of El Cerrito Employees' Pension Trust Fund,7225,20152016,121853,121853,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20142015,115366,115336,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20132014,112781,112781,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20122013,112257,112257,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20112012,141769,141769,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20102011,149466,149466,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20092010,148256,148256,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20082009,145166,145166,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20072008,184919,184919,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20062007,183278,181873,99%
City of El Cerrito Employees' Pension Trust Fund,7225,20052006,215841,215841,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20042005,230376,230376,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20032004,205640,205640,100%
City of El Cerrito Employees' Pension Trust Fund,7225,20022003,266664,266664,100%
City of Emeryville Pension Plan,7221,20112012,67400,0,0%
City of Emeryville Pension Plan,7221,20102011,67400,400000,593%
City of Emeryville Pension Plan,7221,20092010,,0,NULL
City of Emeryville Pension Plan,7221,20082009,,0,NULL
City of Emeryville Pension Plan,7221,20072008,0,0,NULL
City of Emeryville Pension Plan,7221,20062007,0,0,NULL
City of Emeryville Pension Plan,7221,20052006,,0,NULL
City of Emeryville Pension Plan,7221,20042005,,0,NULL
City of Emeryville Pension Plan,7221,20032004,0,0,NULL
City of Emeryville Pension Plan,7221,20022003,0,0,0%
City of Eureka Fire and Police Retirement System,7233,20152016,40126,397095,990%
City of Eureka Fire and Police Retirement System,7233,20142015,15305,397446,2597%
City of Eureka Fire and Police Retirement System,7233,20132014,-42325,427179,-1009%
City of Eureka Fire and Police Retirement System,7233,20122013,-45499,466199,-1025%
City of Eureka Fire and Police Retirement System,7233,20112012,-24914,501000,-2011%
City of Eureka Fire and Police Retirement System,7233,20102011,14660,200696,1369%
City of Eureka Fire and Police Retirement System,7233,20092010,-33125,225000,-679%
City of Eureka Fire and Police Retirement System,7233,20082009,-31650,266064,-841%
City of Eureka Fire and Police Retirement System,7233,20072008,,0,NULL
City of Eureka Fire and Police Retirement System,7233,20062007,,425000,74%
City of Eureka Fire and Police Retirement System,7233,20052006,,425000,74%
City of Eureka Fire and Police Retirement System,7233,20042005,,425000,-345%
City of Eureka Fire and Police Retirement System,7233,20032004,571992,425000,74%
City of Eureka Fire and Police Retirement System,7233,20022003,607686,450000,74%
City of Fresno Employees' Retirement System,7232,20152016,13060088,13060088,100%
City of Fresno Employees' Retirement System,7232,20142015,12326570,12326570,100%
City of Fresno Employees' Retirement System,7232,20132014,11439981,11439981,100%
City of Fresno Employees' Retirement System,7232,20122013,13329655,13329655,100%
City of Fresno Employees' Retirement System,7232,20112012,11373870,11373870,100%
City of Fresno Employees' Retirement System,7232,20102011,8214569,8214569,100%
City of Fresno Employees' Retirement System,7232,20092010,3267115,3267115,100%
City of Fresno Employees' Retirement System,7232,20082009,1345274,1345274,100%
City of Fresno Employees' Retirement System,7232,20072008,354894,354894,100%
City of Fresno Employees' Retirement System,7232,20062007,1566215,1566215,100%
City of Fresno Employees' Retirement System,7232,20052006,,0,0%
City of Fresno Employees' Retirement System,7232,20042005,11281398,0,0%
City of Fresno Employees' Retirement System,7232,20032004,11652135,0,0%
City of Fresno Employees' Retirement System,7232,20022003,11462692,0,0%
City of Fresno Fire and Police Retirement System,7231,20152016,18737948,18737948,100%
City of Fresno Fire and Police Retirement System,7231,20142015,18966930,18966930,100%
City of Fresno Fire and Police Retirement System,7231,20132014,18574840,18574840,100%
City of Fresno Fire and Police Retirement System,7231,20122013,18724714,18724714,100%
City of Fresno Fire and Police Retirement System,7231,20112012,22875005,22875005,100%
City of Fresno Fire and Police Retirement System,7231,20102011,19397178,19397178,100%
City of Fresno Fire and Police Retirement System,7231,20092010,12094355,12094355,100%
City of Fresno Fire and Police Retirement System,7231,20082009,8938488,8938488,100%
City of Fresno Fire and Police Retirement System,7231,20072008,8766066,8766066,100%
City of Fresno Fire and Police Retirement System,7231,20062007,10806791,10806791,100%
City of Fresno Fire and Police Retirement System,7231,20052006,8886000,8885866,100%
City of Fresno Fire and Police Retirement System,7231,20042005,13878454,8806044,63%
City of Fresno Fire and Police Retirement System,7231,20032004,12643732,728399,6%
City of Fresno Fire and Police Retirement System,7231,20022003,12479125,0,0%
City of Irvine Defined Contribution Pension Plan,7252,20152016,,142550,NULL
City of Irvine Defined Contribution Pension Plan,7252,20142015,,164030,100%
City of Irvine Defined Contribution Pension Plan,7252,20132014,,162993,NULL
City of Irvine Defined Contribution Pension Plan,7252,20122013,,166137,NULL
City of Irvine Defined Contribution Pension Plan,7252,20112012,0,180762,NULL
City of Irvine Defined Contribution Pension Plan,7252,20102011,,204021,NULL
City of Irvine Defined Contribution Pension Plan,7252,20092010,,205698,15%
City of Irvine Defined Contribution Pension Plan,7252,20082009,,208888,NULL
City of Irvine Defined Contribution Pension Plan,7252,20072008,,239587,NULL
City of Irvine Defined Contribution Pension Plan,7252,20062007,0,268446,100%
City of Irvine Defined Contribution Pension Plan,7252,20052006,275808,275808,100%
City of Irvine Defined Contribution Pension Plan,7252,20042005,315408,315408,100%
City of Irvine Defined Contribution Pension Plan,7252,20032004,3929791,2303718,59%
City of Irvine Defined Contribution Pension Plan,7252,20022003,0,3929791,100%
City of Irvine Safety Defined Benefit Pension Plan,7243,20152016,161908,129900,80%
City of Irvine Safety Defined Benefit Pension Plan,7243,20142015,263566,242995,92%
City of Irvine Safety Defined Benefit Pension Plan,7243,20132014,364226,355520,98%
City of Irvine Safety Defined Benefit Pension Plan,7243,20122013,431008,492960,114%
City of Irvine Safety Defined Benefit Pension Plan,7243,20112012,303258,311663,103%
City of Irvine Safety Defined Benefit Pension Plan,7243,20102011,303258,236653,78%
City of Irvine Safety Defined Benefit Pension Plan,7243,20092010,156819,235126,150%
City of Irvine Safety Defined Benefit Pension Plan,7243,20082009,156819,228424,146%
City of Irvine Safety Defined Benefit Pension Plan,7243,20072008,186404,230482,124%
City of Irvine Safety Defined Benefit Pension Plan,7243,20062007,212488,218968,103%
City of Irvine Safety Defined Benefit Pension Plan,7243,20052006,211023,187346,89%
City of Irvine Safety Defined Benefit Pension Plan,7243,20042005,211023,943460,447%
City of Irvine Safety Defined Benefit Pension Plan,7243,20032004,75181,487137,648%
City of Irvine Safety Defined Benefit Pension Plan,7243,20022003,75181,518042,689%
City of Kerman Employees' Retirement Trust,7251,20062007,,6729,NULL
City of Kerman Employees' Retirement Trust,7251,20052006,,12145,NULL
City of Kerman Employees' Retirement Trust,7251,20032004,128884,128884,100%
City of Kerman Employees' Retirement Trust,7251,20022003,0,123743,NULL
City of Los Angeles Fire and Police Pension System,7236,20152016,478385438,478385438,100%
City of Los Angeles Fire and Police Pension System,7236,20142015,480332251,480332251,100%
City of Los Angeles Fire and Police Pension System,7236,20132014,440698260,440698260,100%
City of Los Angeles Fire and Police Pension System,7236,20122013,375448092,375448092,100%
City of Los Angeles Fire and Police Pension System,7236,20112012,321593433,321593433,100%
City of Los Angeles Fire and Police Pension System,7236,20102011,277092251,277092251,100%
City of Los Angeles Fire and Police Pension System,7236,20092010,250516858,250516858,100%
City of Los Angeles Fire and Police Pension System,7236,20082009,238697929,238697929,100%
City of Los Angeles Fire and Police Pension System,7236,20072008,261635491,261635491,100%
City of Los Angeles Fire and Police Pension System,7236,20062007,224946082,224946082,100%
City of Los Angeles Fire and Police Pension System,7236,20052006,143945802,145301919,101%
City of Los Angeles Fire and Police Pension System,7236,20042005,135853688,136611012,101%
City of Los Angeles Fire and Police Pension System,7236,20032004,97465612,98756913,101%
City of Los Angeles Fire and Police Pension System,7236,20022003,98529049,99790032,101%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20152016,368599924,362359894,98%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20142015,387464759,376902022,97%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20132014,387823989,384265892,99%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20122013,376667610,368426348,98%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20112012,336874865,321688919,95%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20102011,304431910,286699384,94%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20092010,200578728,201033238,100%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20082009,141291588,145941275,103%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20072008,144743767,141862126,98%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20062007,141464198,129154539,91%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20052006,118341826,101556257,86%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20042005,84610392,75490143,89%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20032004,44128205,55804924,126%
City of Los Angeles Water and Power Employees' Retirement Plan,7238,20022003,47823973,40560882,85%
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20152016,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20142015,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20132014,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20122013,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20112012,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20102011,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20092010,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20082009,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20072008,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20062007,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20052006,3198,3198,100%
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20042005,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20032004,0,0,NULL
City of Manhattan Beach Single Highest Year Retirement Plan,7240,20022003,0,0,0%
City of Manhattan Beach Supplemental Retirement Plan,7241,20152016,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20142015,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20132014,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20122013,,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20112012,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20102011,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20092010,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20082009,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20072008,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20062007,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20052006,25326,25326,100%
City of Manhattan Beach Supplemental Retirement Plan,7241,20042005,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20032004,0,0,NULL
City of Manhattan Beach Supplemental Retirement Plan,7241,20022003,0,0,0%
City of Mill Valley Retirement System,7242,20052006,3991,3991,100%
City of Mill Valley Retirement System,7242,20042005,6057,6057,100%
City of Mill Valley Retirement System,7242,20032004,6860,6860,100%
City of Mill Valley Retirement System,7242,20022003,11079,11079,100%
City of Oakland Fire and Police Retirement System,7222,20152016,,0,NULL
City of Oakland Fire and Police Retirement System,7222,20142015,0,0,NULL
City of Oakland Fire and Police Retirement System,7222,20132014,0,0,NULL
City of Oakland Fire and Police Retirement System,7222,20122013,34200000,210000000,614%
City of Oakland Fire and Police Retirement System,7222,20112012,45100000,45507996,101%
City of Oakland Fire and Police Retirement System,7222,20102011,41400000,0,0%
City of Oakland Fire and Police Retirement System,7222,20092010,37500000,0,0%
City of Oakland Fire and Police Retirement System,7222,20082009,32100000,0,0%
City of Oakland Fire and Police Retirement System,7222,20072008,28600000,0,0%
City of Oakland Fire and Police Retirement System,7222,20062007,23600000,0,0%
City of Oakland Fire and Police Retirement System,7222,20052006,23600000,0,0%
City of Oakland Fire and Police Retirement System,7222,20042005,24000000,17709888,74%
City of Oakland Fire and Police Retirement System,7222,20032004,18200000,0,0%
City of Oakland Fire and Police Retirement System,7222,20022003,0,155004,100%
City of Oakland Municipal Employees' Retirement System,7223,20142015,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20132014,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20122013,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20112012,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20102011,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20092010,,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20082009,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20072008,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20062007,0,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20052006,,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20042005,,0,NULL
City of Oakland Municipal Employees' Retirement System,7223,20032004,0,0,0%
City of Oakland Municipal Employees' Retirement System,7223,20022003,0,0,0%
